underlying,trail,lock,moneyness,moneyness_pct,trades,win_rate,ret_pct,net_pnl,profit_factor,sharpe,max_dd,expectancy,is_ret,is_trades,is_pf,oos_ret,oos_trades,oos_pf
SENSEX,slow,off,ITM1,-0.167,201,25.9,-592.24,-592236.1,0.788,-2.07,281.52,-2946.45,-65.14,142,0.961,-557.43,59,0.501
SENSEX,slow,off,ATM,0.0,201,25.4,-585.72,-585722.69,0.785,-1.774,279.49,-2914.04,-64.29,142,0.961,-550.77,59,0.495
SENSEX,slow,off,OTM1,0.167,201,25.4,-579.08,-579082.33,0.783,-2.317,277.43,-2881.01,-63.5,142,0.961,-543.9,59,0.49
SENSEX,slow,off,OTM2,0.335,201,24.9,-572.04,-572043.89,0.78,-2.03,275.25,-2845.99,-62.59,142,0.96,-536.78,59,0.485
SENSEX,slow,lock@0.5R,ITM2,-0.335,201,25.9,-598.41,-598409.3,0.79,-1.737,283.42,-2977.16,-65.91,142,0.962,-563.84,59,0.506
SENSEX,slow,lock@0.5R,ITM1,-0.167,201,25.9,-592.24,-592236.1,0.788,-2.07,281.52,-2946.45,-65.14,142,0.961,-557.43,59,0.501
SENSEX,slow,lock@0.5R,ATM,0.0,201,25.4,-585.72,-585722.69,0.785,-1.774,279.49,-2914.04,-64.29,142,0.961,-550.77,59,0.495
SENSEX,slow,lock@0.5R,OTM1,0.167,201,25.4,-579.08,-579082.33,0.783,-2.317,277.43,-2881.01,-63.5,142,0.961,-543.9,59,0.49
SENSEX,slow,lock@0.5R,OTM2,0.335,201,24.9,-572.04,-572043.89,0.78,-2.03,275.25,-2845.99,-62.59,142,0.96,-536.78,59,0.485
SENSEX,slow,lock@1.0R,ITM2,-0.335,201,25.9,-598.41,-598409.3,0.79,-1.737,283.42,-2977.16,-65.91,142,0.962,-563.84,59,0.506
SENSEX,slow,lock@1.0R,ITM1,-0.167,201,25.9,-592.24,-592236.1,0.788,-2.07,281.52,-2946.45,-65.14,142,0.961,-557.43,59,0.501
SENSEX,slow,lock@1.0R,ATM,0.0,201,25.4,-585.72,-585722.69,0.785,-1.774,279.49,-2914.04,-64.29,142,0.961,-550.77,59,0.495
SENSEX,slow,lock@1.0R,OTM1,0.167,201,25.4,-579.08,-579082.33,0.783,-2.317,277.43,-2881.01,-63.5,142,0.961,-543.9,59,0.49
SENSEX,slow,lock@1.0R,OTM2,0.335,201,24.9,-572.04,-572043.89,0.78,-2.03,275.25,-2845.99,-62.59,142,0.96,-536.78,59,0.485
SENSEX,slow,lock@1.5R,ITM2,-0.335,201,25.9,-598.41,-598409.3,0.79,-1.737,283.42,-2977.16,-65.91,142,0.962,-563.84,59,0.506
SENSEX,slow,lock@1.5R,ITM1,-0.167,201,25.9,-592.24,-592236.1,0.788,-2.07,281.52,-2946.45,-65.14,142,0.961,-557.43,59,0.501
SENSEX,slow,lock@1.5R,ATM,0.0,201,25.4,-585.72,-585722.69,0.785,-1.774,279.49,-2914.04,-64.29,142,0.961,-550.77,59,0.495
SENSEX,slow,lock@1.5R,OTM1,0.167,201,25.4,-579.08,-579082.33,0.783,-2.317,277.43,-2881.01,-63.5,142,0.961,-543.9,59,0.49
SENSEX,slow,lock@1.5R,OTM2,0.335,201,24.9,-572.04,-572043.89,0.78,-2.03,275.25,-2845.99,-62.59,142,0.96,-536.78,59,0.485
