underlying,adx_min,atr_pct_min,full_trades,full_win_rate,full_ret_pct,full_pf,oos_trades,oos_win_rate,oos_ret_pct,oos_pf
SENSEX,15,off,341,38.4,321.4,1.28,104,38.5,44.8,1.1
SENSEX,15,30,263,38.0,218.3,1.23,86,38.4,50.0,1.12
SENSEX,15,50,219,38.8,265.6,1.32,72,41.7,97.1,1.26
SENSEX,15,70,152,40.8,247.9,1.44,52,40.4,77.9,1.3
SENSEX,20,off,267,38.6,189.6,1.21,82,39.0,54.9,1.16
SENSEX,20,30,215,38.1,163.4,1.21,69,42.0,85.0,1.27
SENSEX,20,50,182,39.6,204.6,1.31,61,42.6,93.0,1.33
SENSEX,20,70,130,43.1,259.2,1.58,46,43.5,100.8,1.51
SENSEX,25,off,163,35.6,13.4,1.02,50,36.0,11.8,1.05
SENSEX,25,30,135,37.8,91.0,1.17,41,39.0,60.4,1.3
SENSEX,25,50,116,38.8,123.5,1.27,35,40.0,85.6,1.49
SENSEX,25,70,91,42.9,165.7,1.5,29,44.8,113.0,1.99
SENSEX,30,off,86,31.4,-58.3,0.84,27,25.9,-35.4,0.76
SENSEX,30,30,75,34.7,-8.7,0.97,25,28.0,-24.5,0.82
SENSEX,30,50,67,35.8,0.7,1.0,20,25.0,-23.7,0.8
SENSEX,30,70,55,43.6,66.2,1.3,17,29.4,2.4,1.03
