underlying,lens,trail_period,trail_mult,time_stop,breakeven_r,trades,win_rate,ret_pct,profit_factor,sharpe,max_dd,is_ret,is_pf,oos_ret,oos_trades,oos_pf
NIFTY 50,options,14,0.75,off,off,558,31.0,40.92,1.038,0.525,55.24,56.26,1.085,-20.42,164,0.95
NIFTY 50,options,14,0.75,off,1.0,558,30.8,44.94,1.042,0.539,53.22,62.54,1.095,-22.69,164,0.944
NIFTY 50,options,14,0.75,48,off,558,31.0,70.31,1.065,0.623,53.28,70.85,1.107,-5.62,164,0.986
NIFTY 50,options,14,0.75,48,1.0,558,30.8,74.33,1.07,0.636,52.45,77.13,1.117,-7.88,164,0.98
NIFTY 50,options,14,1.0,off,off,548,30.5,64.76,1.055,0.617,48.46,136.48,1.184,-73.83,159,0.832
NIFTY 50,options,14,1.0,off,1.0,548,30.3,63.29,1.054,0.612,48.9,141.05,1.192,-79.86,159,0.819
NIFTY 50,options,14,1.0,48,off,549,30.4,89.62,1.076,0.701,45.31,147.67,1.199,-60.16,160,0.864
NIFTY 50,options,14,1.0,48,1.0,549,30.2,88.15,1.075,0.696,45.31,152.24,1.207,-66.19,160,0.85
NIFTY 50,options,14,1.5,off,off,467,28.9,-18.45,0.984,0.318,71.7,84.8,1.116,-105.49,136,0.754
NIFTY 50,options,14,1.5,off,1.0,468,28.8,-3.55,0.997,0.381,66.39,92.97,1.128,-98.77,136,0.766
NIFTY 50,options,14,1.5,48,off,474,29.7,-40.25,0.966,0.242,76.34,47.09,1.064,-90.06,138,0.792
NIFTY 50,options,14,1.5,48,1.0,475,29.5,-26.26,0.977,0.301,70.5,54.35,1.074,-83.34,138,0.805
NIFTY 50,options,14,2.0,off,off,366,30.9,19.11,1.017,0.514,63.11,138.32,1.209,-124.97,111,0.721
NIFTY 50,options,14,2.0,off,1.0,367,30.8,18.92,1.017,0.513,63.08,138.12,1.208,-124.97,111,0.721
NIFTY 50,options,14,2.0,48,off,389,32.1,-17.51,0.985,0.245,72.35,106.06,1.152,-130.7,118,0.719
NIFTY 50,options,14,2.0,48,1.0,391,32.0,-22.04,0.981,0.221,73.41,101.53,1.144,-130.7,118,0.719
NIFTY 50,options,21,0.75,off,off,558,32.1,77.25,1.073,0.63,50.66,79.18,1.12,-7.01,164,0.982
NIFTY 50,options,21,0.75,off,1.0,558,31.9,81.18,1.077,0.643,49.83,85.46,1.131,-9.36,164,0.976
NIFTY 50,options,21,0.75,48,off,558,32.1,105.55,1.1,0.707,50.66,93.77,1.142,6.7,164,1.017
NIFTY 50,options,21,0.75,48,1.0,558,31.9,109.48,1.104,0.719,49.83,100.05,1.153,4.35,164,1.011
NIFTY 50,options,21,1.0,off,off,553,30.0,45.01,1.037,0.547,52.67,120.09,1.161,-77.18,161,0.829
NIFTY 50,options,21,1.0,off,1.0,553,29.8,41.97,1.035,0.536,53.66,120.02,1.16,-80.15,161,0.822
NIFTY 50,options,21,1.0,48,off,554,30.0,72.67,1.06,0.643,47.42,134.08,1.179,-63.51,162,0.86
NIFTY 50,options,21,1.0,48,1.0,554,29.8,69.63,1.058,0.633,47.53,134.01,1.179,-66.48,162,0.853
NIFTY 50,options,21,1.5,off,off,466,29.0,-9.49,0.992,0.328,69.76,105.55,1.146,-113.65,136,0.734
NIFTY 50,options,21,1.5,off,1.0,468,28.8,1.3,1.001,0.378,66.08,110.39,1.154,-107.7,136,0.744
NIFTY 50,options,21,1.5,48,off,473,29.6,-34.21,0.971,0.214,75.05,63.08,1.087,-97.27,138,0.774
NIFTY 50,options,21,1.5,48,1.0,475,29.3,-24.33,0.979,0.26,71.09,67.01,1.093,-91.32,138,0.785
NIFTY 50,options,21,2.0,off,off,355,31.3,-33.54,0.969,0.162,76.15,97.82,1.152,-124.23,106,0.713
NIFTY 50,options,21,2.0,off,1.0,355,31.3,-28.52,0.973,0.204,74.51,99.55,1.155,-120.94,106,0.718
NIFTY 50,options,21,2.0,48,off,381,32.0,-60.97,0.947,-0.149,84.89,72.28,1.103,-127.73,113,0.717
NIFTY 50,options,21,2.0,48,1.0,381,32.0,-55.95,0.951,-0.091,83.06,74.01,1.106,-124.44,113,0.722
NIFTY BANK,options,10,0.75,off,off,558,33.2,493.06,1.165,0.968,53.68,560.7,1.303,-75.27,166,0.934
NIFTY BANK,options,10,0.75,off,1.0,558,33.0,486.92,1.164,0.969,54.14,552.51,1.301,-73.23,166,0.935
NIFTY BANK,options,10,0.75,48,off,558,33.2,461.73,1.155,0.887,70.49,524.54,1.283,-70.45,166,0.938
NIFTY BANK,options,10,0.75,48,1.0,558,33.0,455.58,1.154,0.884,70.86,516.36,1.281,-68.41,166,0.94
NIFTY BANK,options,10,1.0,off,off,547,33.6,678.1,1.212,1.061,64.95,869.87,1.444,-197.54,164,0.84
NIFTY BANK,options,10,1.0,off,1.0,547,33.6,695.17,1.219,1.069,61.82,887.51,1.458,-198.1,164,0.84
NIFTY BANK,options,10,1.0,48,off,547,33.6,650.46,1.204,1.053,85.14,840.04,1.429,-195.34,164,0.842
NIFTY BANK,options,10,1.0,48,1.0,547,33.6,667.53,1.21,1.059,81.05,857.68,1.442,-195.91,164,0.841
NIFTY BANK,options,10,1.5,off,off,455,31.6,633.34,1.213,1.173,60.22,817.29,1.453,-192.62,139,0.837
NIFTY BANK,options,10,1.5,off,1.0,455,31.0,626.27,1.213,1.17,60.24,807.76,1.454,-190.17,139,0.838
NIFTY BANK,options,10,1.5,48,off,460,31.7,610.24,1.204,1.168,71.0,800.96,1.44,-203.19,140,0.827
NIFTY BANK,options,10,1.5,48,1.0,460,31.1,603.16,1.204,1.165,71.03,791.44,1.441,-200.74,140,0.829
NIFTY BANK,options,10,2.0,off,off,351,30.8,824.56,1.291,0.992,84.18,984.38,1.589,-161.81,111,0.863
NIFTY BANK,options,10,2.0,off,1.0,354,30.5,797.15,1.279,0.962,87.0,972.64,1.578,-177.48,112,0.851
NIFTY BANK,options,10,2.0,48,off,372,32.0,627.7,1.213,1.271,77.59,791.22,1.455,-171.47,116,0.859
NIFTY BANK,options,10,2.0,48,1.0,375,31.7,605.85,1.204,1.238,80.29,785.03,1.45,-187.14,117,0.848
NIFTY BANK,options,14,0.75,off,off,558,33.3,482.71,1.162,0.948,60.9,559.77,1.303,-84.7,166,0.925
NIFTY BANK,options,14,0.75,off,1.0,558,33.2,476.56,1.161,0.948,61.29,551.59,1.301,-82.66,166,0.927
NIFTY BANK,options,14,0.75,48,off,558,33.3,451.37,1.151,0.829,79.97,523.62,1.284,-79.88,166,0.93
NIFTY BANK,options,14,0.75,48,1.0,558,33.2,445.23,1.15,0.826,80.22,515.43,1.281,-77.84,166,0.931
NIFTY BANK,options,14,1.0,off,off,550,34.7,829.39,1.263,1.127,52.8,873.61,1.45,-49.98,163,0.959
NIFTY BANK,options,14,1.0,off,1.0,551,34.5,733.14,1.233,1.097,56.81,881.11,1.457,-153.73,164,0.873
NIFTY BANK,options,14,1.0,48,off,550,34.7,740.39,1.235,1.144,69.9,852.3,1.439,-117.68,163,0.902
NIFTY BANK,options,14,1.0,48,1.0,551,34.5,715.76,1.228,1.142,75.21,859.8,1.446,-149.81,164,0.876
NIFTY BANK,options,14,1.5,off,off,456,31.8,622.25,1.208,1.167,67.09,789.7,1.427,-176.26,137,0.848
NIFTY BANK,options,14,1.5,off,1.0,456,31.1,621.25,1.21,1.167,62.72,786.25,1.433,-173.81,137,0.85
NIFTY BANK,options,14,1.5,48,off,462,32.0,608.01,1.202,1.113,79.33,772.67,1.415,-177.13,139,0.847
NIFTY BANK,options,14,1.5,48,1.0,462,31.4,607.01,1.204,1.15,73.45,769.22,1.421,-174.68,139,0.849
NIFTY BANK,options,14,2.0,off,off,338,32.8,882.68,1.327,0.98,85.9,1058.32,1.658,-177.62,107,0.839
NIFTY BANK,options,14,2.0,off,1.0,339,32.7,873.69,1.322,0.979,85.9,1049.33,1.649,-177.62,107,0.839
NIFTY BANK,options,14,2.0,48,off,363,34.2,684.01,1.24,1.302,76.87,830.45,1.492,-154.4,114,0.868
NIFTY BANK,options,14,2.0,48,1.0,364,34.1,680.58,1.238,1.299,76.87,827.02,1.489,-154.4,114,0.868
NIFTY BANK,options,21,0.75,off,off,558,33.2,462.54,1.155,0.926,64.43,548.66,1.298,-93.75,166,0.918
NIFTY BANK,options,21,0.75,off,1.0,558,33.2,478.02,1.161,0.927,65.56,563.79,1.309,-93.41,166,0.918
NIFTY BANK,options,21,0.75,48,off,558,33.2,440.8,1.148,0.818,79.78,522.1,1.283,-88.93,166,0.922
NIFTY BANK,options,21,0.75,48,1.0,558,33.2,456.27,1.154,0.811,81.18,537.23,1.294,-88.59,166,0.922
NIFTY BANK,options,21,1.0,off,off,556,35.1,703.25,1.217,1.071,64.65,858.93,1.43,-161.44,166,0.87
NIFTY BANK,options,21,1.0,off,1.0,556,34.7,675.63,1.209,1.059,68.62,863.16,1.434,-193.29,166,0.845
NIFTY BANK,options,21,1.0,48,off,556,35.1,684.53,1.211,1.109,85.37,836.28,1.419,-157.51,166,0.873
NIFTY BANK,options,21,1.0,48,1.0,556,34.7,656.91,1.203,1.126,90.62,840.52,1.422,-189.37,166,0.848
NIFTY BANK,options,21,1.5,off,off,456,30.9,568.37,1.189,1.121,67.67,735.77,1.396,-176.21,138,0.848
NIFTY BANK,options,21,1.5,off,1.0,456,30.9,628.1,1.213,1.145,63.55,779.02,1.429,-159.73,138,0.861
NIFTY BANK,options,21,1.5,48,off,463,31.5,602.94,1.2,1.12,80.51,763.91,1.411,-173.43,140,0.85
NIFTY BANK,options,21,1.5,48,1.0,463,31.5,662.68,1.225,1.146,74.71,807.16,1.445,-156.95,140,0.862
NIFTY BANK,options,21,2.0,off,off,336,31.8,943.24,1.35,1.032,75.4,1138.37,1.714,-199.43,107,0.821
NIFTY BANK,options,21,2.0,off,1.0,338,31.7,928.03,1.342,1.027,75.4,1137.94,1.713,-214.22,108,0.811
NIFTY BANK,options,21,2.0,48,off,364,33.8,687.07,1.242,1.384,60.38,883.92,1.527,-207.13,114,0.822
NIFTY BANK,options,21,2.0,48,1.0,366,33.6,675.13,1.237,1.375,60.38,886.78,1.529,-221.92,115,0.812
NIFTY FIN SERVICE,options,10,0.75,off,off,562,34.2,206.45,1.154,1.085,27.78,211.93,1.25,-8.89,164,0.982
NIFTY FIN SERVICE,options,10,0.75,off,1.0,562,34.2,208.57,1.156,1.09,27.52,212.96,1.251,-7.8,164,0.984
NIFTY FIN SERVICE,options,10,0.75,48,off,562,34.2,220.54,1.165,1.12,27.05,221.13,1.26,-10.38,164,0.979
NIFTY FIN SERVICE,options,10,0.75,48,1.0,562,34.2,222.67,1.166,1.125,26.8,222.16,1.262,-9.29,164,0.981
NIFTY FIN SERVICE,options,10,1.0,off,off,546,32.1,255.6,1.177,1.096,44.47,264.54,1.291,-11.06,157,0.979
NIFTY FIN SERVICE,options,10,1.0,off,1.0,546,32.1,260.67,1.182,1.105,44.47,266.68,1.294,-8.12,157,0.985
NIFTY FIN SERVICE,options,10,1.0,48,off,547,32.0,254.3,1.176,1.066,48.46,255.06,1.28,-9.26,157,0.983
NIFTY FIN SERVICE,options,10,1.0,48,1.0,547,32.0,259.38,1.18,1.075,48.46,257.19,1.283,-6.32,157,0.988
NIFTY FIN SERVICE,options,10,1.5,off,off,454,31.5,370.92,1.274,1.265,44.25,385.24,1.465,-18.36,133,0.965
NIFTY FIN SERVICE,options,10,1.5,off,1.0,454,31.1,367.96,1.277,1.272,43.6,373.96,1.461,-10.04,133,0.981
NIFTY FIN SERVICE,options,10,1.5,48,off,460,32.0,389.83,1.285,1.288,40.59,397.91,1.476,-19.74,134,0.963
NIFTY FIN SERVICE,options,10,1.5,48,1.0,460,31.5,379.51,1.283,1.285,40.0,379.27,1.463,-11.42,134,0.978
NIFTY FIN SERVICE,options,10,2.0,off,off,367,30.0,222.67,1.161,1.126,38.47,356.69,1.456,-137.53,113,0.771
NIFTY FIN SERVICE,options,10,2.0,off,1.0,370,29.7,223.88,1.162,1.123,38.33,354.63,1.452,-134.27,113,0.776
NIFTY FIN SERVICE,options,10,2.0,48,off,387,31.5,197.96,1.139,1.172,38.73,307.58,1.38,-120.75,115,0.804
NIFTY FIN SERVICE,options,10,2.0,48,1.0,390,31.3,199.17,1.14,1.167,38.57,305.52,1.376,-117.49,115,0.808
NIFTY FIN SERVICE,options,14,0.75,off,off,562,34.5,196.36,1.148,1.063,28.24,218.78,1.261,-24.95,164,0.949
NIFTY FIN SERVICE,options,14,0.75,off,1.0,562,34.5,198.49,1.15,1.069,27.72,219.82,1.263,-23.86,164,0.951
NIFTY FIN SERVICE,options,14,0.75,48,off,562,34.5,208.41,1.158,1.094,27.59,227.98,1.272,-28.49,164,0.941
NIFTY FIN SERVICE,options,14,0.75,48,1.0,562,34.5,210.53,1.159,1.099,27.46,229.01,1.274,-27.4,164,0.943
NIFTY FIN SERVICE,options,14,1.0,off,off,553,31.8,208.75,1.142,0.986,44.72,251.99,1.273,-45.36,162,0.917
NIFTY FIN SERVICE,options,14,1.0,off,1.0,553,31.8,213.6,1.146,0.995,44.72,254.22,1.276,-42.73,162,0.921
NIFTY FIN SERVICE,options,14,1.0,48,off,554,31.8,205.09,1.139,0.956,48.33,242.3,1.262,-45.73,162,0.916
NIFTY FIN SERVICE,options,14,1.0,48,1.0,554,31.8,209.94,1.143,0.964,48.33,244.54,1.265,-43.1,162,0.921
NIFTY FIN SERVICE,options,14,1.5,off,off,452,30.8,361.33,1.265,1.261,45.44,374.21,1.445,-16.92,133,0.968
NIFTY FIN SERVICE,options,14,1.5,off,1.0,453,30.2,354.79,1.265,1.26,44.78,360.5,1.437,-9.76,134,0.981
NIFTY FIN SERVICE,options,14,1.5,48,off,459,31.4,375.89,1.273,1.278,41.79,382.53,1.451,-18.3,134,0.966
NIFTY FIN SERVICE,options,14,1.5,48,1.0,460,30.9,361.98,1.267,1.268,41.19,361.46,1.434,-11.14,135,0.979
NIFTY FIN SERVICE,options,14,2.0,off,off,355,30.7,292.03,1.214,1.085,41.41,445.46,1.577,-156.94,112,0.737
NIFTY FIN SERVICE,options,14,2.0,off,1.0,357,30.5,288.17,1.211,1.078,41.41,438.23,1.563,-153.58,112,0.741
NIFTY FIN SERVICE,options,14,2.0,48,off,377,32.1,264.26,1.188,1.296,33.34,379.22,1.473,-126.1,114,0.793
NIFTY FIN SERVICE,options,14,2.0,48,1.0,379,31.9,260.39,1.185,1.283,33.53,371.99,1.46,-122.73,114,0.798
NIFTY FIN SERVICE,options,21,0.75,off,off,562,34.5,245.07,1.186,1.176,24.24,260.03,1.312,-17.49,164,0.964
NIFTY FIN SERVICE,options,21,0.75,off,1.0,562,34.5,246.12,1.187,1.179,24.19,259.99,1.312,-16.4,164,0.966
NIFTY FIN SERVICE,options,21,0.75,48,off,562,34.5,257.11,1.196,1.203,24.19,269.22,1.323,-21.03,164,0.956
NIFTY FIN SERVICE,options,21,0.75,48,1.0,562,34.5,258.16,1.196,1.205,24.14,269.18,1.323,-19.94,164,0.959
NIFTY FIN SERVICE,options,21,1.0,off,off,559,32.2,225.53,1.154,1.031,41.08,272.1,1.293,-51.65,163,0.905
NIFTY FIN SERVICE,options,21,1.0,off,1.0,559,32.2,230.38,1.157,1.04,41.08,274.33,1.296,-49.02,163,0.909
NIFTY FIN SERVICE,options,21,1.0,48,off,559,32.2,236.24,1.161,1.029,43.48,276.79,1.298,-52.01,163,0.904
NIFTY FIN SERVICE,options,21,1.0,48,1.0,559,32.2,241.09,1.165,1.037,43.48,279.02,1.301,-49.39,163,0.909
NIFTY FIN SERVICE,options,21,1.5,off,off,447,31.1,409.43,1.298,1.358,41.35,422.61,1.498,-17.22,132,0.967
NIFTY FIN SERVICE,options,21,1.5,off,1.0,449,30.5,391.94,1.29,1.343,39.61,409.34,1.492,-21.44,133,0.959
NIFTY FIN SERVICE,options,21,1.5,48,off,457,31.5,401.5,1.288,1.352,33.82,419.03,1.489,-29.2,134,0.946
NIFTY FIN SERVICE,options,21,1.5,48,1.0,459,30.9,397.12,1.289,1.352,33.33,398.4,1.474,-12.94,135,0.976
NIFTY FIN SERVICE,options,21,2.0,off,off,351,30.5,304.91,1.225,1.106,41.38,437.43,1.56,-136.93,110,0.763
NIFTY FIN SERVICE,options,21,2.0,off,1.0,352,30.1,305.13,1.226,1.105,41.38,434.29,1.559,-133.58,110,0.768
NIFTY FIN SERVICE,options,21,2.0,48,off,376,32.2,247.45,1.176,1.248,35.57,352.43,1.434,-116.64,113,0.804
NIFTY FIN SERVICE,options,21,2.0,48,1.0,377,31.8,247.66,1.177,1.247,35.49,349.29,1.433,-113.29,113,0.809
SENSEX,options,10,0.75,off,off,557,31.8,271.48,1.073,-0.649,178.4,313.76,1.134,-43.12,161,0.968
SENSEX,options,10,0.75,off,1.0,557,31.4,251.54,1.068,-0.865,171.47,314.84,1.135,-64.14,161,0.953
SENSEX,options,10,0.75,48,off,557,31.8,338.3,1.091,-0.644,178.4,364.28,1.156,-26.81,161,0.98
SENSEX,options,10,0.75,48,1.0,557,31.4,318.36,1.086,-0.857,171.47,365.36,1.157,-47.83,161,0.965
SENSEX,options,10,1.0,off,off,542,30.4,148.01,1.037,0.685,127.39,340.76,1.134,-181.75,156,0.875
SENSEX,options,10,1.0,off,1.0,543,30.0,198.02,1.05,0.322,130.65,352.45,1.139,-143.43,157,0.901
SENSEX,options,10,1.0,48,off,543,30.4,234.51,1.058,0.248,127.68,388.34,1.152,-142.82,157,0.903
SENSEX,options,10,1.0,48,1.0,544,30.0,284.52,1.071,0.095,131.19,400.02,1.158,-104.51,158,0.928
SENSEX,options,10,1.5,off,off,464,29.1,-405.7,0.898,-1.037,160.28,206.17,1.086,-600.87,138,0.621
SENSEX,options,10,1.5,off,1.0,465,28.8,-403.32,0.898,-0.143,161.02,192.12,1.081,-584.43,138,0.627
SENSEX,options,10,1.5,48,off,470,29.6,-329.96,0.918,-1.231,144.01,218.85,1.091,-537.81,139,0.66
SENSEX,options,10,1.5,48,1.0,471,29.3,-350.25,0.912,-0.723,148.66,182.13,1.076,-521.37,139,0.667
SENSEX,options,10,2.0,off,off,368,28.8,-220.57,0.942,0.265,124.36,41.35,1.018,-272.85,110,0.82
SENSEX,options,10,2.0,off,1.0,372,28.0,-219.05,0.942,0.367,123.77,12.03,1.005,-242.02,110,0.837
SENSEX,options,10,2.0,48,off,387,30.2,-256.9,0.935,0.913,128.48,33.32,1.014,-301.15,115,0.805
SENSEX,options,10,2.0,48,1.0,392,29.3,-295.11,0.926,-0.482,136.26,-35.73,0.985,-270.32,115,0.822
SENSEX,options,14,0.75,off,off,555,31.7,159.02,1.043,-0.646,180.84,237.09,1.101,-78.92,160,0.943
SENSEX,options,14,0.75,off,1.0,555,31.4,143.74,1.039,-0.848,173.92,238.17,1.102,-95.26,160,0.931
SENSEX,options,14,0.75,48,off,555,31.7,226.49,1.061,-0.647,180.84,287.62,1.123,-61.96,160,0.955
SENSEX,options,14,0.75,48,1.0,555,31.4,211.22,1.057,-0.854,173.92,288.69,1.124,-78.31,160,0.943
SENSEX,options,14,1.0,off,off,545,30.6,198.99,1.05,-1.088,132.32,408.87,1.163,-198.88,157,0.864
SENSEX,options,14,1.0,off,1.0,546,30.2,246.38,1.062,-0.901,135.6,419.94,1.168,-162.56,158,0.888
SENSEX,options,14,1.0,48,off,546,30.6,311.7,1.078,-1.211,132.99,456.44,1.181,-133.74,158,0.909
SENSEX,options,14,1.0,48,1.0,547,30.2,359.09,1.09,-0.675,136.52,467.52,1.187,-97.42,159,0.933
SENSEX,options,14,1.5,off,off,467,29.1,-294.53,0.925,-0.069,141.31,219.69,1.091,-503.22,137,0.667
SENSEX,options,14,1.5,off,1.0,469,28.6,-281.94,0.928,-1.076,138.12,225.34,1.095,-496.27,138,0.67
SENSEX,options,14,1.5,48,off,473,29.8,-260.09,0.934,-0.234,145.59,202.26,1.083,-451.34,138,0.699
SENSEX,options,14,1.5,48,1.0,475,29.3,-270.17,0.931,0.172,136.37,185.23,1.077,-444.4,139,0.702
SENSEX,options,14,2.0,off,off,361,29.9,-134.82,0.964,-1.825,113.76,133.54,1.059,-278.39,108,0.809
SENSEX,options,14,2.0,off,1.0,361,29.9,-124.67,0.967,0.784,113.76,143.69,1.063,-278.39,108,0.809
SENSEX,options,14,2.0,48,off,385,30.6,-213.15,0.946,-0.499,118.64,119.57,1.049,-342.75,114,0.775
SENSEX,options,14,2.0,48,1.0,385,30.6,-202.99,0.949,0.279,116.85,129.73,1.053,-342.75,114,0.775
SENSEX,options,21,0.75,off,off,555,31.4,149.31,1.04,-0.573,188.24,263.6,1.113,-122.16,160,0.91
SENSEX,options,21,0.75,off,1.0,555,31.0,134.26,1.037,-0.783,181.31,259.22,1.112,-132.83,160,0.901
SENSEX,options,21,0.75,48,off,555,31.4,245.9,1.067,-0.557,188.24,314.12,1.135,-76.09,160,0.944
SENSEX,options,21,0.75,48,1.0,555,31.0,230.85,1.063,-0.769,181.31,309.74,1.134,-86.76,160,0.936
SENSEX,options,21,1.0,off,off,550,30.7,133.39,1.033,-0.822,144.95,388.88,1.154,-245.89,159,0.836
SENSEX,options,21,1.0,off,1.0,550,30.4,111.45,1.028,-0.826,148.29,385.6,1.153,-264.56,159,0.824
SENSEX,options,21,1.0,48,off,551,30.7,259.3,1.064,-1.172,144.04,449.66,1.178,-180.75,160,0.88
SENSEX,options,21,1.0,48,1.0,551,30.3,237.36,1.059,-0.925,147.64,446.38,1.177,-199.42,160,0.868
SENSEX,options,21,1.5,off,off,463,30.0,-111.07,0.971,-1.325,126.8,309.9,1.131,-409.96,135,0.716
SENSEX,options,21,1.5,off,1.0,465,29.2,-124.62,0.967,0.095,119.36,281.32,1.12,-394.94,135,0.724
SENSEX,options,21,1.5,48,off,470,30.6,-23.53,0.994,-0.846,130.1,355.73,1.149,-368.26,137,0.747
SENSEX,options,21,1.5,48,1.0,472,29.9,-59.76,0.984,-0.751,123.56,304.48,1.128,-353.23,137,0.755
SENSEX,options,21,2.0,off,off,359,28.7,-281.07,0.926,-0.871,158.17,122.15,1.054,-385.63,107,0.743
SENSEX,options,21,2.0,off,1.0,359,28.4,-384.92,0.898,-0.995,158.17,20.72,1.009,-388.05,107,0.741
SENSEX,options,21,2.0,48,off,381,29.9,-426.67,0.893,-0.579,160.31,30.36,1.013,-439.43,112,0.718
SENSEX,options,21,2.0,48,1.0,381,29.7,-496.43,0.875,-0.942,172.63,-48.42,0.98,-430.41,112,0.722
