strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
ORB + VWAP,ACUTAAS,5min,Scalping,94,47.8723,1.6178,0.1855,3.3843,3.3416,18.6132,45659.5939,28223.7197,1.0147,-0.576,51.2271
SuperTrend (Triple),INDIGO,5min,Aggressive,223,30.9417,1.2537,0.0803,1.4288,7.8288,18.5534,88456.4286,70555.1613,1.282,-0.4582,7.2569
ATM Premium (Open),GVT&D,5min,Scalping,117,39.3162,1.3908,0.148,2.3162,4.2713,18.1891,61630.7662,44313.8963,1.3398,-0.6241,19.2918
Flow Navigator (Vol),INDIGO,1h,Scalping,25,56.0,2.2153,0.684,5.8191,3.8392,18.0927,31171.6102,14070.9685,2.2265,-1.2792,7.2569
Flow Navigator (Vol),KAYNES,1h,Intraday,19,52.6316,1.6821,0.9167,3.8986,12.6261,17.4733,42951.4407,25534.6674,4.2951,-2.8372,-6.669
SuperTrend (Triple),GVT&D,1h,Intraday,23,43.4783,1.453,0.8086,2.6866,17.3212,17.432,59654.3613,41056.0991,5.9654,-3.1582,19.2918
Flow Navigator (Vol),ACUTAAS,1h,Scalping,19,57.8947,2.2795,0.8695,6.2231,4.0504,17.3653,29432.6628,12911.9362,2.6757,-1.614,51.2271
Flow Navigator (Vol),LTM,1h,Intraday,15,53.3333,2.1001,1.1183,5.3863,7.8292,17.2756,32021.9818,15248.0459,4.0027,-2.1783,-4.9047
Flow Navigator (Vol),DATAPATTNS,1h,Intraday,17,52.9412,1.612,1.0443,3.5178,7.9706,17.2558,46763.0087,29009.2446,5.1959,-3.6262,63.7584
SuperTrend (Triple),MUTHOOTFIN,15min,Intraday,81,43.2099,1.3246,0.2041,2.0113,17.8864,16.7499,67461.0299,50929.5711,1.9275,-1.1072,-24.3252
SuperTrend (Triple),GVT&D,15min,Aggressive,88,31.8182,1.2331,0.1963,1.4304,23.6251,16.439,91357.6799,74085.994,3.2628,-1.2348,19.2918
ORB + VWAP,NETWEB,5min,Intraday,65,43.0769,1.348,0.2503,2.1081,7.9212,16.3243,63018.7648,46750.3217,2.2507,-1.2635,65.5562
Flow Navigator (Vol),TATAELXSI,1h,Aggressive,17,41.1765,1.8911,0.9298,4.2617,5.8749,15.9535,33543.7416,17737.3744,4.792,-1.7737,-21.6101
ORB + VWAP,DATAPATTNS,5min,Scalping,118,42.3729,1.3579,0.1282,2.1585,7.2292,15.7225,57404.3339,42274.9794,1.1481,-0.6217,63.7584
ORB + VWAP,BSE,5min,Intraday,79,50.6329,1.4745,0.1828,2.8851,4.9506,15.0691,44880.0844,30437.7575,1.122,-0.7805,12.3376
SuperTrend (Triple),TATAELXSI,15min,Aggressive,93,33.3333,1.3056,0.1591,1.7942,9.7855,14.8894,63200.4998,48407.7204,2.0387,-0.7808,-21.6101
Flow Navigator (Vol),MUTHOOTFIN,1h,Intraday,17,52.9412,1.7482,0.8672,3.9375,6.1588,14.7062,34448.3985,19705.2531,3.8276,-2.4632,-24.3252
SuperTrend (Triple),BSE,1h,Scalping,36,50.0,1.6696,0.3853,3.7207,7.9085,14.3132,34590.6837,20718.3419,1.9217,-1.151,12.3376
ORB + VWAP,BSE,5min,Aggressive,78,37.1795,1.4664,0.1717,2.6233,5.5256,13.8491,42113.6178,28719.3543,1.4522,-0.5861,12.3376
SuperTrend (Triple),PERSISTENT,5min,Aggressive,229,30.131,1.1547,0.06,0.938,19.3461,13.394,102552.1645,88813.4819,1.4863,-0.5551,4.0324
