strategy,symbol,timeframe,profile,trades,win_rate,profit_factor,expectancy,sharpe,max_dd_pct,net_return_pct,gross_profit,gross_loss,avg_win_pct,avg_loss_pct,hodl_return_pct
ORB + VWAP,TATAELXSI,5min,Intraday,73,41.0959,1.0549,0.0255,0.3844,6.2269,1.4762,35839.9546,33975.3616,1.1947,-0.7901,-21.6101
SuperTrend (Triple),NIFTY_50,15min,Scalping,121,42.9752,1.0812,0.0115,0.5741,3.894,1.3381,18510.8476,17121.1041,0.356,-0.2481,-4.6642
SuperTrend (Triple),ENRIN,1h,Aggressive,29,24.1379,1.0735,0.1035,0.4504,17.2914,1.2031,43802.0623,40801.9091,6.2574,-1.8546,31.7893
Flow Navigator (Vol),LTM,1h,Scalping,16,37.5,1.1179,0.0868,0.7978,4.039,1.1729,13164.3675,11775.7206,2.1941,-1.1776,-4.9047
ORB + VWAP,ENRIN,5min,Scalping,107,40.1869,1.0414,0.0127,0.2926,6.0071,1.1115,34076.294,32721.3511,0.7925,-0.5113,31.7893
ATM Premium (Open),ACUTAAS,5min,Scalping,116,38.7931,1.0315,0.0134,0.2262,8.3428,1.0514,50811.2293,49261.0684,1.1291,-0.6938,51.2271
Adaptive Edge (Vol+IB),INDIGO,15min,Aggressive,123,26.8293,1.0319,0.0197,0.2003,20.3118,0.9631,78348.4936,75928.4581,2.3742,-0.8436,7.2569
ORB + VWAP,INDIGO,5min,Intraday,61,42.623,1.0476,0.0205,0.3219,5.7903,0.9496,27552.2492,26300.619,1.0597,-0.7514,7.2569
Flow Navigator (Vol),NIFTY_50,1h,Aggressive,21,28.5714,1.0999,0.0516,0.607,5.1989,0.9082,11939.8487,10855.2648,1.99,-0.7237,-4.6642
ATM Premium (Open),BSE,5min,Scalping,112,35.7143,1.0317,0.0091,0.2194,9.3756,0.7814,33078.8017,32061.849,0.827,-0.4453,12.3376
ATM Premium (Open),DATAPATTNS,5min,Aggressive,108,25.9259,1.0316,0.0248,0.2041,16.7119,0.7237,87346.0284,84670.7457,3.1195,-1.0584,63.7584
Adaptive Edge (Vol+IB),BSE,15min,Scalping,219,36.9863,1.0175,0.0064,0.1257,20.2599,0.6944,81080.4742,79689.7839,1.001,-0.5775,12.3376
SuperTrend (Triple),ACUTAAS,1h,Scalping,36,33.3333,1.0431,0.0445,0.2955,9.3086,0.6167,38727.6848,37126.5472,3.2273,-1.5469,51.2271
SuperTrend (Triple),MUTHOOTFIN,1h,Aggressive,31,29.0323,1.0469,0.0545,0.316,14.6578,0.5858,37671.4254,35982.8233,4.1857,-1.6356,-24.3252
ATM Premium (Open),LTM,5min,Intraday,106,39.6226,1.0203,0.0119,0.1484,16.7675,0.4141,63209.6268,61949.0246,1.505,-0.968,-4.9047
SuperTrend (Triple),NIFTY_BANK,1h,Intraday,29,41.3793,1.0352,0.0249,0.2444,8.4276,0.3585,21264.4848,20541.5748,1.772,-1.2083,-4.7945
SuperTrend (Triple),MCX,5min,Scalping,360,36.3889,1.0101,0.0023,0.0702,12.2508,0.3411,84189.7891,83344.8943,0.6427,-0.364,23.8886
SuperTrend (Triple),SHAILY,15min,Intraday,75,37.3333,1.0321,0.0351,0.2215,27.7779,0.3183,84582.4905,81950.1059,3.0208,-1.7436,62.6742
ORB + VWAP,TITAN,5min,Intraday,91,40.6593,1.0197,0.0067,0.1314,10.6839,0.3175,31679.3813,31067.4102,0.8562,-0.5753,18.3761
ORB + VWAP,NETWEB,5min,Scalping,86,34.8837,1.0162,0.007,0.1124,9.3373,0.1875,37954.3041,37349.7383,1.2651,-0.667,65.5562
ATM Premium (Open),MCX,5min,Scalping,118,35.5932,1.0124,0.0039,0.089,10.5229,0.1786,37488.5994,37029.8211,0.8926,-0.4872,23.8886
Flow Navigator (Vol),NIFTY_BANK,1h,Intraday,19,31.5789,1.011,0.0083,0.0748,6.4917,-0.1193,14470.9987,14313.1629,2.4118,-1.101,-4.7945
ORB + VWAP,PERSISTENT,5min,Scalping,101,37.6238,1.0007,0.0002,0.0054,5.5815,-0.1703,28728.4338,28707.1953,0.756,-0.4557,4.0324
ATM Premium (Open),MUTHOOTFIN,5min,Scalping,108,36.1111,1.0006,0.0002,0.0042,7.6017,-0.2409,33769.5317,33749.5431,0.8659,-0.4891,-24.3252
SuperTrend (Triple),HAL,15min,Aggressive,94,27.6596,1.0103,0.0054,0.066,10.7072,-0.2613,49748.2942,49242.5939,1.9134,-0.7242,17.1634
SuperTrend (Triple),NETWEB,5min,Intraday,213,39.4366,1.0142,0.009,0.0976,20.7891,-0.3524,137262.677,135336.0836,1.6341,-1.0491,65.5562
SuperTrend (Triple),NIFTY_BANK,15min,Scalping,118,39.8305,0.9829,-0.0032,-0.128,3.3769,-0.4737,21890.5374,22271.5785,0.4658,-0.3137,-4.7945
SuperTrend (Triple),NIFTY_BANK,1h,Scalping,42,33.3333,0.9811,-0.0076,-0.1312,5.189,-0.4912,16584.7022,16904.3077,1.1846,-0.6037,-4.7945
Flow Navigator (Vol),DATAPATTNS,1h,Scalping,22,36.3636,1.0036,0.0041,0.0266,7.8176,-0.5375,25119.8094,25029.1845,3.14,-1.7878,63.7584
ATM Premium (Open),BSE,5min,Aggressive,101,28.7129,0.9991,-0.0004,-0.0059,11.091,-0.6612,47415.5708,47457.42,1.635,-0.6591,12.3376
ORB + VWAP,TATAELXSI,5min,Scalping,99,38.3838,0.9794,-0.0052,-0.1485,5.4151,-0.67,24678.5707,25197.4295,0.6494,-0.4131,-21.6101
ATM Premium (Open),PERSISTENT,5min,Intraday,104,40.3846,1.0034,0.0021,0.025,11.9813,-0.6919,65352.8007,65134.0128,1.556,-1.0505,4.0324
ORB + VWAP,LTM,5min,Aggressive,81,30.8642,0.9923,-0.0035,-0.0517,8.5194,-0.7301,36348.6563,36629.7625,1.4539,-0.6541,-4.9047
SuperTrend (Triple),TATAELXSI,15min,Intraday,83,39.759,1.0004,0.0002,0.0026,12.8602,-0.7545,52706.5916,52688.0952,1.5972,-1.0538,-21.6101
Flow Navigator (Vol),INDIGO,1h,Intraday,17,35.2941,1.002,0.003,0.0137,13.8638,-0.8999,26330.1966,26278.9406,4.3884,-2.389,7.2569
Flow Navigator (Vol),ENRIN,1h,Scalping,18,33.3333,0.965,-0.0328,-0.2588,6.6344,-0.9271,16287.0327,16877.3528,2.7145,-1.4064,31.7893
SuperTrend (Triple),GVT&D,15min,Scalping,129,32.5581,0.9959,-0.0021,-0.0284,16.6828,-1.1451,65672.9273,65944.5252,1.5636,-0.758,19.2918
SuperTrend (Triple),NIFTY_BANK,1h,Aggressive,27,25.9259,0.951,-0.034,-0.3217,7.3788,-1.272,17837.0134,18755.7042,2.5481,-0.9378,-4.7945
ATM Premium (Open),MUTHOOTFIN,5min,Intraday,101,37.6238,0.9914,-0.005,-0.0612,12.8879,-1.3131,57811.7166,58312.1937,1.5214,-0.9256,-24.3252
ORB + VWAP,BSE,5min,Scalping,100,37.0,0.9522,-0.0119,-0.3589,5.6749,-1.3173,23691.4175,24880.6538,0.6403,-0.3949,12.3376
ATM Premium (Open),TITAN,5min,Scalping,106,33.9623,0.9518,-0.0116,-0.3463,3.9576,-1.3656,24250.8792,25478.3637,0.6736,-0.364,18.3761
Flow Navigator (Vol),SIEMENS,1h,Intraday,14,35.7143,0.9659,-0.0503,-0.2461,7.6309,-1.3717,19957.7533,20661.608,3.9916,-2.2957,28.0896
Flow Navigator (Vol),TATAELXSI,1h,Scalping,20,35.0,0.9295,-0.0568,-0.5281,7.1179,-1.4022,14986.5225,16122.935,2.1409,-1.2402,-21.6101
Flow Navigator (Vol),MCX,1h,Aggressive,19,26.3158,0.9803,-0.0282,-0.1318,9.5363,-1.5362,26677.599,27213.3093,5.3355,-1.9438,23.8886
ATM Premium (Open),SIEMENS,5min,Scalping,109,33.945,0.9602,-0.0129,-0.2911,7.359,-1.6584,33890.3955,35296.3907,0.916,-0.4902,28.0896
Flow Navigator (Vol),NIFTY_50,1h,Scalping,23,30.4348,0.7697,-0.0774,-1.8398,3.2983,-1.8127,5949.0669,7728.7821,0.8499,-0.483,-4.6642
SuperTrend (Triple),ACUTAAS,15min,Scalping,130,33.8462,0.9834,-0.0081,-0.116,19.4286,-1.8263,62328.8445,63382.478,1.4166,-0.737,51.2271
Flow Navigator (Vol),NIFTY_50,1h,Intraday,20,35.0,0.8618,-0.0856,-1.0532,4.2164,-1.8519,10673.3671,12384.6317,1.5248,-0.9527,-4.6642
ORB + VWAP,INDIGO,5min,Aggressive,59,30.5085,0.927,-0.0289,-0.4961,7.6299,-1.9345,21676.6026,23382.8893,1.2043,-0.5703,7.2569
SuperTrend (Triple),SIEMENS,5min,Intraday,214,39.2523,0.9857,-0.0062,-0.1037,22.5913,-2.2586,91553.7357,92881.033,1.0899,-0.7145,28.0896
SuperTrend (Triple),TITAN,15min,Aggressive,86,24.4186,0.9573,-0.0204,-0.2799,9.5924,-2.2929,39396.811,41152.5771,1.876,-0.6331,18.3761
SuperTrend (Triple),SIEMENS,5min,Aggressive,231,26.4069,0.9861,-0.0055,-0.0901,21.9838,-2.3063,90036.136,91304.3339,1.476,-0.5371,28.0896
SuperTrend (Triple),MUTHOOTFIN,5min,Aggressive,215,27.907,0.9822,-0.0068,-0.1135,19.5876,-2.3911,80768.2805,82230.1543,1.3461,-0.5305,-24.3252
SuperTrend (Triple),TITAN,5min,Intraday,208,38.9423,0.971,-0.0094,-0.2032,8.158,-2.4944,65788.6094,67753.395,0.8122,-0.5335,18.3761
ATM Premium (Open),DATAPATTNS,5min,Intraday,110,37.2727,0.9936,-0.0057,-0.0469,18.2707,-2.5663,96269.363,96891.3531,2.348,-1.4042,63.7584
SuperTrend (Triple),DATAPATTNS,5min,Aggressive,238,25.2101,0.9965,-0.0018,-0.0214,21.4699,-2.6004,123542.6182,123982.1506,2.059,-0.6965,63.7584
SuperTrend (Triple),LTM,15min,Intraday,74,36.4865,0.9632,-0.0258,-0.2728,9.852,-2.6916,49927.518,51837.1556,1.8492,-1.1029,-4.9047
ORB + VWAP,SHAILY,5min,Scalping,140,38.5714,0.9567,-0.0177,-0.3174,11.5458,-2.9838,54900.8279,57384.1321,1.0167,-0.6673,62.6742
Flow Navigator (Vol),TORNTPHARM,1h,Intraday,14,35.7143,0.8445,-0.1939,-1.2544,6.0952,-3.0584,14743.3893,17457.5133,2.9487,-1.9397,19.3096
SuperTrend (Triple),GVT&D,5min,Aggressive,246,26.0163,0.9922,-0.0041,-0.0471,33.1314,-3.1962,127014.4823,128011.4223,1.9846,-0.7034,19.2918
ATM Premium (Open),KAYNES,5min,Intraday,108,37.963,0.9714,-0.0198,-0.2062,19.2178,-3.3149,72699.4765,74837.9789,1.7732,-1.117,-6.669
ATM Premium (Open),NIFTY_50,5min,Scalping,84,38.0952,0.7237,-0.04,-2.3927,3.7369,-3.332,8796.1206,12155.0012,0.2749,-0.2338,-4.6642
SuperTrend (Triple),TORNTPHARM,15min,Aggressive,83,24.0964,0.9369,-0.0332,-0.4222,12.7671,-3.337,40963.3298,43722.9555,2.0482,-0.694,19.3096
SuperTrend (Triple),BSE,15min,Intraday,80,38.75,0.955,-0.0323,-0.3362,12.6871,-3.437,54859.0367,57442.8117,1.7696,-1.1723,12.3376
ORB + VWAP,TORNTPHARM,5min,Intraday,92,36.9565,0.9189,-0.0347,-0.6093,8.2972,-3.4981,36133.2908,39323.284,1.0627,-0.678,19.3096
ATM Premium (Open),TITAN,5min,Intraday,98,32.6531,0.9283,-0.0321,-0.518,6.479,-3.5481,40732.5482,43878.3766,1.2729,-0.6648,18.3761
Flow Navigator (Vol),HAL,1h,Aggressive,13,23.0769,0.762,-0.2585,-1.8521,9.853,-3.5903,10758.3643,14119.15,3.5861,-1.4119,17.1634
SuperTrend (Triple),THANGAMAYL,1h,Intraday,26,38.4615,0.9949,-0.0122,-0.0373,25.0526,-3.6104,62163.0552,62481.468,6.2163,-3.9051,46.6111
SuperTrend (Triple),TITAN,5min,Aggressive,229,25.7642,0.9508,-0.0143,-0.3094,15.4203,-3.8014,63235.2254,66504.903,1.0718,-0.3912,18.3761
SuperTrend (Triple),ACUTAAS,1h,Intraday,25,36.0,0.9677,-0.0647,-0.2346,15.1946,-3.8098,48512.6833,50130.0187,5.3903,-3.1331,51.2271
Flow Navigator (Vol),TORNTPHARM,1h,Scalping,20,30.0,0.7287,-0.1879,-2.329,6.9429,-3.8415,10094.4666,13852.7501,1.6824,-0.9895,19.3096
ATM Premium (Open),ENRIN,5min,Intraday,106,36.7925,0.9631,-0.0261,-0.2781,13.8693,-3.8487,72242.6827,75008.9594,1.8524,-1.1195,31.7893
SuperTrend (Triple),DATAPATTNS,5min,Scalping,369,35.2304,0.9741,-0.008,-0.1732,13.6042,-3.8619,110885.556,113839.4692,0.853,-0.4763,63.7584
SuperTrend (Triple),THANGAMAYL,15min,Intraday,91,38.4615,0.9868,-0.0144,-0.094,18.9204,-3.8735,98001.2572,99310.8771,2.8,-1.7734,46.6111
Flow Navigator (Vol),HAL,1h,Intraday,12,33.3333,0.7527,-0.3068,-2.0725,7.49,-3.9113,11202.9326,14884.2464,2.8007,-1.8605,17.1634
SuperTrend (Triple),TVSMOTOR,15min,Intraday,87,41.3793,0.9425,-0.0374,-0.4358,19.3309,-3.9653,53319.761,56571.6459,1.4811,-1.1092,11.2746
SuperTrend (Triple),ACUTAAS,15min,Intraday,94,38.2979,0.9736,-0.0238,-0.1905,19.4097,-3.9841,82586.8908,84827.5688,2.2941,-1.4625,51.2271
SuperTrend (Triple),ENRIN,15min,Scalping,138,33.3333,0.9404,-0.0264,-0.4481,10.1805,-4.1436,57335.9272,60972.7526,1.2464,-0.6627,31.7893
SuperTrend (Triple),HAL,1h,Aggressive,23,26.087,0.8345,-0.1634,-1.2445,9.6255,-4.1445,18950.3506,22708.0543,3.1584,-1.3358,17.1634
SuperTrend (Triple),PERSISTENT,1h,Aggressive,24,25.0,0.905,-0.1338,-0.6708,18.0042,-4.25,30602.2241,33812.9094,5.1004,-1.8785,4.0324
ORB + VWAP,GVT&D,5min,Intraday,78,39.7436,0.9428,-0.0428,-0.4151,12.8663,-4.2763,55086.5534,58428.0494,1.777,-1.2431,19.2918
SuperTrend (Triple),TORNTPHARM,15min,Scalping,123,32.5203,0.8935,-0.0335,-0.7932,8.7774,-4.3002,34569.0998,38690.588,0.8642,-0.4662,19.3096
SuperTrend (Triple),TITAN,1h,Intraday,21,38.0952,0.8375,-0.1915,-1.2677,16.6307,-4.4933,20731.4279,24753.5868,2.5914,-1.9041,18.3761
ORB + VWAP,TORNTPHARM,5min,Scalping,131,35.1145,0.844,-0.0359,-1.2128,6.3369,-4.7255,25405.904,30103.0495,0.5523,-0.3542,19.3096
SuperTrend (Triple),TVSMOTOR,5min,Aggressive,219,26.484,0.9444,-0.0192,-0.3698,11.3044,-4.8103,71273.0511,75470.4443,1.2288,-0.4688,11.2746
SuperTrend (Triple),HAL,1h,Scalping,43,30.2326,0.8288,-0.1074,-1.3411,7.9954,-4.8362,22353.1262,26970.6614,1.7195,-0.899,17.1634
SuperTrend (Triple),NIFTY_50,1h,Aggressive,33,24.2424,0.7476,-0.1464,-1.8911,8.5461,-4.9475,14310.9737,19142.2292,1.7889,-0.7657,-4.6642
SuperTrend (Triple),MUTHOOTFIN,5min,Intraday,224,37.9464,0.9552,-0.0189,-0.3254,17.4388,-5.0393,90169.4001,94397.6058,1.0608,-0.6791,-24.3252
ATM Premium (Open),DATAPATTNS,5min,Scalping,116,32.7586,0.9173,-0.04,-0.6206,10.5123,-5.1068,51475.5478,56117.0542,1.3546,-0.7194,63.7584
ORB + VWAP,TITAN,5min,Aggressive,90,27.7778,0.8314,-0.0558,-1.2274,9.7682,-5.1178,24760.1598,29781.4581,0.9904,-0.4582,18.3761
SuperTrend (Triple),LTM,15min,Scalping,119,33.6134,0.8901,-0.0413,-0.8454,7.7042,-5.1326,39791.4763,44705.8104,0.9948,-0.5659,-4.9047
ATM Premium (Open),LTM,5min,Aggressive,103,26.2136,0.9199,-0.0444,-0.5684,16.3782,-5.2093,52512.9325,57084.5962,1.9449,-0.7511,-4.9047
SuperTrend (Triple),SIEMENS,15min,Intraday,88,36.3636,0.9364,-0.0485,-0.4801,17.3373,-5.2451,62896.4281,67168.0223,1.9655,-1.1994,28.0896
Flow Navigator (Vol),BSE,1h,Intraday,17,41.1765,0.804,-0.2829,-1.6159,10.8678,-5.2873,19728.7457,24537.9989,2.8184,-2.4538,12.3376
ORB + VWAP,PERSISTENT,5min,Aggressive,75,28.0,0.8667,-0.0666,-0.9641,11.5535,-5.2921,32463.7058,37458.0642,1.5459,-0.6937,4.0324
SuperTrend (Triple),BSE,1h,Intraday,24,33.3333,0.8786,-0.1823,-0.9381,12.4541,-5.3168,31666.3544,36042.3494,3.9583,-2.2526,12.3376
SuperTrend (Triple),LTM,1h,Scalping,40,32.5,0.8275,-0.1322,-1.4001,13.4964,-5.5675,25365.297,30653.8622,1.9512,-1.1353,-4.9047
SuperTrend (Triple),ACUTAAS,1h,Aggressive,23,26.087,0.9074,-0.1678,-0.6337,16.3385,-5.582,37802.7168,41661.6801,6.3005,-2.4507,51.2271
Flow Navigator (Vol),TITAN,1h,Scalping,25,24.0,0.6762,-0.2217,-2.6361,10.833,-5.5972,11574.7276,17116.5187,1.9291,-0.9009,18.3761
SuperTrend (Triple),TATAELXSI,5min,Aggressive,220,26.3636,0.9366,-0.0228,-0.4341,17.1629,-5.5983,73958.395,78965.3726,1.2751,-0.4874,-21.6101
ORB + VWAP,MUTHOOTFIN,5min,Aggressive,70,24.2857,0.8069,-0.0793,-1.4135,9.0859,-5.6591,23194.8582,28746.6909,1.3644,-0.5424,-24.3252
SuperTrend (Triple),TATAELXSI,1h,Intraday,26,34.6154,0.8683,-0.1867,-1.0264,15.5961,-5.7228,32002.6971,36857.593,3.5559,-2.1681,-21.6101
SuperTrend (Triple),TORNTPHARM,5min,Aggressive,210,23.8095,0.92,-0.0259,-0.5358,11.9286,-5.8597,62457.6782,67886.5534,1.2492,-0.4243,19.3096
Adaptive Edge (Vol+IB),NIFTY_50,15min,Aggressive,154,27.2727,0.8675,-0.0375,-0.9635,9.4042,-5.8837,37807.6128,43579.8816,0.9002,-0.3891,-4.6642
Flow Navigator (Vol),TVSMOTOR,1h,Intraday,17,29.4118,0.7794,-0.3229,-1.8108,15.1778,-5.9496,19393.1331,24883.061,3.8786,-2.0736,11.2746
SuperTrend (Triple),ENRIN,1h,Intraday,22,31.8182,0.8659,-0.2249,-1.0232,15.7514,-6.025,31956.9518,36904.4263,4.5653,-2.4603,31.7893
SuperTrend (Triple),INDIGO,1h,Intraday,28,32.1429,0.8836,-0.1758,-0.8634,12.6368,-6.1226,37345.7937,42267.4201,4.1495,-2.2246,7.2569
SuperTrend (Triple),NIFTY_50,1h,Intraday,30,33.3333,0.6823,-0.2087,-2.7562,8.5219,-6.2706,13446.9271,19707.2478,1.3447,-0.9854,-4.6642
SuperTrend (Triple),MCX,15min,Aggressive,82,25.6098,0.9061,-0.0673,-0.6778,13.5253,-6.3049,53198.2298,58713.7944,2.5332,-0.9625,23.8886
SuperTrend (Triple),MCX,15min,Intraday,77,36.3636,0.9075,-0.0728,-0.7175,11.9687,-6.3738,54988.3103,60591.4052,1.9639,-1.2366,23.8886
ATM Premium (Open),NIFTY_BANK,5min,Scalping,94,29.7872,0.6128,-0.0696,-3.6124,6.3749,-6.3749,10350.8761,16892.3002,0.3697,-0.2559,-4.7945
Adaptive Edge (Vol+IB),KAYNES,15min,Intraday,123,34.1463,0.9644,-0.0326,-0.2476,16.6989,-6.4164,108552.967,112563.0403,2.5846,-1.3897,-6.669
Flow Navigator (Vol),NIFTY_BANK,1h,Scalping,24,16.6667,0.4441,-0.2736,-5.6457,7.2728,-6.4279,5246.9735,11813.9849,1.3117,-0.5907,-4.7945
SuperTrend (Triple),KAYNES,5min,Scalping,374,36.3636,0.9396,-0.0163,-0.4358,18.0629,-6.5215,94698.691,100788.2762,0.6963,-0.4235,-6.669
ORB + VWAP,SIEMENS,5min,Aggressive,99,23.2323,0.866,-0.0628,-0.9504,12.2687,-6.5306,40192.6321,46409.7508,1.7475,-0.6107,28.0896
SuperTrend (Triple),THANGAMAYL,5min,Aggressive,228,25.8772,0.9651,-0.0197,-0.2185,24.8027,-6.54,123759.1999,128239.6216,2.0976,-0.7588,46.6111
ATM Premium (Open),PERSISTENT,5min,Scalping,112,34.8214,0.8352,-0.0586,-1.3437,10.8953,-6.599,33246.2522,39805.8435,0.8525,-0.5453,4.0324
ATM Premium (Open),NETWEB,5min,Aggressive,111,26.1261,0.9394,-0.0467,-0.4157,15.0274,-6.6701,80247.9155,85428.2022,2.7672,-1.0418,65.5562
ATM Premium (Open),ENRIN,5min,Scalping,114,32.4561,0.8533,-0.0579,-1.1732,8.8069,-6.7167,38414.8379,45019.6753,1.0382,-0.5847,31.7893
SuperTrend (Triple),SHAILY,1h,Aggressive,23,21.7391,0.8943,-0.2064,-0.7051,17.578,-6.7943,40153.5656,44901.3548,8.0307,-2.4945,62.6742
ATM Premium (Open),SIEMENS,5min,Intraday,101,33.6634,0.9018,-0.0614,-0.7481,18.0179,-6.8074,56968.2702,63171.852,1.6755,-0.9429,28.0896
ORB + VWAP,MUTHOOTFIN,5min,Scalping,95,34.7368,0.7062,-0.0736,-2.5929,9.3163,-6.8417,16803.5112,23792.6226,0.5092,-0.3838,-24.3252
ATM Premium (Open),TORNTPHARM,5min,Scalping,104,29.8077,0.7601,-0.0677,-1.9306,8.7784,-6.9539,22321.9805,29367.875,0.7201,-0.4023,19.3096
ORB + VWAP,HAL,5min,Aggressive,82,21.9512,0.7752,-0.0849,-1.6694,9.5363,-6.9706,24009.1918,30969.6494,1.3338,-0.4839,17.1634
SuperTrend (Triple),TITAN,15min,Scalping,136,29.4118,0.8333,-0.0516,-1.2323,13.9882,-7.0597,35096.9354,42119.4763,0.8774,-0.4387,18.3761
SuperTrend (Triple),DATAPATTNS,15min,Scalping,122,34.4262,0.9053,-0.054,-0.7207,16.1331,-7.1667,62950.2524,69533.8917,1.4988,-0.8692,63.7584
SuperTrend (Triple),THANGAMAYL,5min,Scalping,337,34.1246,0.9393,-0.0195,-0.4169,13.7302,-7.2023,101407.1243,107964.1169,0.8818,-0.4863,46.6111
ORB + VWAP,TORNTPHARM,5min,Aggressive,94,24.4681,0.8032,-0.0778,-1.4608,11.2757,-7.3642,29866.6561,37182.7945,1.2986,-0.5237,19.3096
ATM Premium (Open),NIFTY_BANK,5min,Intraday,91,35.1648,0.7265,-0.0841,-2.34,8.6599,-7.5077,20334.0745,27988.9006,0.6354,-0.4744,-4.7945
ATM Premium (Open),NIFTY_50,5min,Intraday,79,36.7089,0.6447,-0.0986,-3.2897,9.1902,-7.5787,14134.7988,21923.9203,0.4874,-0.4385,-4.6642
SuperTrend (Triple),TORNTPHARM,15min,Intraday,83,33.7349,0.8556,-0.0876,-1.1248,15.4283,-7.5956,43097.1173,50369.038,1.5392,-0.9158,19.3096
ORB + VWAP,ENRIN,5min,Intraday,81,37.037,0.857,-0.0901,-1.1283,12.0072,-7.6385,43759.0121,51060.2579,1.4586,-1.0012,31.7893
SuperTrend (Triple),GVT&D,15min,Intraday,88,36.3636,0.9306,-0.0689,-0.5252,33.1694,-7.64,81301.9665,87366.5426,2.5407,-1.5601,19.2918
ATM Premium (Open),SIEMENS,5min,Aggressive,99,21.2121,0.8678,-0.0738,-0.9152,16.9936,-7.7818,47970.5487,55275.5748,2.2843,-0.7087,28.0896
SuperTrend (Triple),TVSMOTOR,15min,Aggressive,88,26.1364,0.8592,-0.0854,-1.0154,13.5164,-7.9469,45847.6324,53359.3986,1.9934,-0.8209,11.2746
ORB + VWAP,TVSMOTOR,5min,Scalping,115,30.4348,0.7135,-0.072,-2.4511,10.1166,-8.0622,20614.6546,28893.6934,0.589,-0.3612,11.2746
ORB + VWAP,MUTHOOTFIN,5min,Intraday,72,33.3333,0.7592,-0.1132,-1.9664,8.624,-8.101,25694.9211,33843.2119,1.0706,-0.7051,-24.3252
SuperTrend (Triple),TORNTPHARM,5min,Scalping,343,34.9854,0.8755,-0.0238,-0.9466,12.6029,-8.1027,57491.3473,65667.4217,0.4791,-0.2945,19.3096
ATM Premium (Open),HAL,5min,Scalping,97,30.9278,0.6969,-0.086,-2.6728,11.8413,-8.1182,19168.1939,27506.408,0.6389,-0.4105,17.1634
ORB + VWAP,SHAILY,5min,Aggressive,100,29.0,0.8956,-0.0739,-0.7427,19.9361,-8.2586,63387.2572,70780.0053,2.1858,-0.9969,62.6742
SuperTrend (Triple),TORNTPHARM,1h,Aggressive,20,15.0,0.607,-0.4172,-3.1992,14.4961,-8.3877,12886.104,21229.2824,4.2954,-1.2488,19.3096
SuperTrend (Triple),LTM,5min,Scalping,314,34.3949,0.8826,-0.0269,-0.8821,12.1178,-8.4317,63439.5014,71881.2359,0.5874,-0.3489,-4.9047
SuperTrend (Triple),BSE,5min,Scalping,355,35.493,0.8924,-0.024,-0.808,12.464,-8.5125,70527.3058,79031.67,0.5597,-0.3451,12.3376
SuperTrend (Triple),SHAILY,5min,Scalping,396,33.0808,0.9406,-0.0196,-0.4072,15.7457,-8.5439,123205.5319,130983.9221,0.9405,-0.4943,62.6742
SuperTrend (Triple),PERSISTENT,1h,Intraday,25,36.0,0.8093,-0.3088,-1.5307,17.0933,-8.5645,32751.8952,40470.8477,3.6391,-2.5294,4.0324
SuperTrend (Triple),TVSMOTOR,1h,Aggressive,27,22.2222,0.7481,-0.3044,-1.9428,14.9896,-8.627,24410.9744,32630.3167,4.0685,-1.5538,11.2746
ATM Premium (Open),TVSMOTOR,5min,Scalping,110,30.0,0.7335,-0.0811,-2.2823,9.7209,-8.6924,24549.0057,33466.1018,0.7439,-0.4346,11.2746
ATM Premium (Open),ACUTAAS,5min,Intraday,102,38.2353,0.9109,-0.076,-0.6856,15.5259,-8.886,79199.7495,86947.0265,2.0308,-1.3801,51.2271
ATM Premium (Open),KAYNES,5min,Aggressive,108,24.0741,0.8827,-0.075,-0.783,15.2274,-8.8958,60970.09,69069.9946,2.345,-0.8423,-6.669
SuperTrend (Triple),NETWEB,15min,Scalping,122,33.6066,0.8695,-0.0703,-0.998,21.037,-8.9156,57178.9316,65760.2007,1.3946,-0.8119,65.5562
ORB + VWAP,ENRIN,5min,Aggressive,76,23.6842,0.7954,-0.1158,-1.5213,13.3527,-8.9259,34222.7889,43024.4838,1.9013,-0.7418,31.7893
SuperTrend (Triple),SIEMENS,1h,Aggressive,23,21.7391,0.7368,-0.3721,-2.0767,15.1043,-9.0168,23954.1311,32512.8103,4.7908,-1.8063,28.0896
ATM Premium (Open),NIFTY_50,5min,Aggressive,79,21.519,0.5346,-0.1193,-4.4796,9.3663,-9.0629,10826.3996,20251.3898,0.6368,-0.3266,-4.6642
ATM Premium (Open),NIFTY_BANK,5min,Aggressive,89,21.3483,0.6282,-0.1063,-3.1786,9.2999,-9.1472,15990.8698,25455.1174,0.8416,-0.3636,-4.7945
SuperTrend (Triple),NIFTY_BANK,5min,Aggressive,249,26.506,0.811,-0.0378,-1.4403,12.0396,-9.1894,40426.3872,49848.832,0.6125,-0.2724,-4.7945
SuperTrend (Triple),TATAELXSI,1h,Scalping,39,30.7692,0.6919,-0.2407,-2.6929,14.4163,-9.3151,21077.8168,30463.74,1.7565,-1.1283,-21.6101
SuperTrend (Triple),THANGAMAYL,1h,Scalping,36,33.3333,0.8172,-0.2404,-1.4792,17.4027,-9.3553,38678.3213,47333.0724,3.2232,-1.9722,46.6111
SuperTrend (Triple),LTM,1h,Aggressive,31,22.5806,0.7821,-0.2825,-1.6758,19.3798,-9.3609,31431.6807,40190.2175,4.4902,-1.6746,-4.9047
