symbol,tf,strategy,profile,trades,win_rate,pf,sharpe,expectancy,gross_profit,gross_loss,net_return,end_capital,pnl_usd,max_dd,avg_bars_held,oos_sharpe,p_loss,p_sup,dsr,wfa_passed,wfa_consistency,hodl_net_return,hodl_max_dd,excess_vs_hold,beats_hold
BTCUSD,1m,ma_crossover,Scalping,116454,0.18912188503615163,0.1476481495643145,-13.082103055333597,-0.0009811329282808734,9896.038275712925,67024.46529072334,-1.0,1.0413999824181016e-47,-500.0,-1.0,4.805356621498618,-1.0505474127401428,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,ma_crossover,Intraday,49673,0.29726410726149016,0.3381705442251888,-7.087524814377589,-0.0009947301836423128,12623.662493280282,37329.278699312585,-1.0,1.4986818616083696e-19,-500.0,-1.0,14.36112173615445,-0.5688178817386373,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,ma_crossover,Aggressive,50265,0.22876753207997613,0.34796967891276875,-7.022591225225688,-0.0009783121274400664,13121.5983162603,37709.02785914777,-1.0,1.9004035928135923e-19,-500.0,-1.0,13.94178852083955,-0.5695511632944532,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,ma_crossover,Intraday_Trailing,123839,0.09078723180904238,0.08143153019490174,-16.879085817999318,-0.001097504997192936,6024.416771269478,73981.37744495748,-1.0,4.08523048844349e-57,-500.0,-1.0,4.420852881563966,-1.3701181007502634,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,ma_crossover,Scale_Out_2R,55210,0.22709654048179678,0.216157760809789,-9.17117112008988,-0.0010264666301212622,7814.0242881113145,36149.63561260876,-1.0,1.0875243585738767e-22,-500.0,-1.0,12.216844774497373,-0.7317742378578417,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,mean_reversion,Scalping,33834,0.20009457941715433,0.17721214955470993,-11.380853869738834,-0.0009730244956640579,3545.298005701656,20005.95339885052,-0.9999999999999952,2.404017009750749e-12,-499.9999999999976,-0.9999999999999952,4.973576875332506,-0.8869150430853365,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444182,False
BTCUSD,1m,mean_reversion,Intraday,27638,0.30407410087560605,0.3637211350874652,-6.415634777903894,-0.001004989245929062,7938.876966335964,21826.823355829674,-0.9999999999992167,3.9165607615947603e-10,-499.99999999960835,-0.9999999999992163,15.433859179390694,-0.5359316345741482,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163436397,False
BTCUSD,1m,mean_reversion,Aggressive,28886,0.2365851969812366,0.3772278481535851,-6.284612082099209,-0.0009686601046800463,8474.291258545538,22464.64915043945,-0.9999999999993621,3.189696987070781e-10,-499.99999999968105,-0.9999999999993623,15.327286574811327,-0.5177785393278455,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163437852,False
BTCUSD,1m,mean_reversion,Intraday_Trailing,33428,0.09865980615053249,0.10185347606637722,-14.718126480546834,-0.0010968782071512518,2079.06212909189,20412.284483417912,-0.9999999999999999,5.702073113354661e-14,-499.99999999999994,-0.9999999999999999,4.6415280603087234,-1.299570910975217,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,mean_reversion,Scale_Out_2R,28999,0.2473878409600331,0.25036941982950706,-8.054808596285534,-0.0010117180115748786,4899.440595900352,19568.845904730304,-0.9999999999998315,8.429348593266664e-11,-499.9999999999157,-0.9999999999998312,13.243767026449188,-0.6680955350724885,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163442546,False
BTCUSD,1m,bb_rsi_reversion,Scalping,25468,0.21234490340819853,0.1889860291350754,-10.76173287987134,-0.0009644966680133923,2861.982286904273,15143.882857386814,-0.9999999999793107,1.034465238708387e-08,-499.99999998965535,-0.9999999999793099,4.876433171038165,-0.8085326220807115,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163237337,False
BTCUSD,1m,bb_rsi_reversion,Intraday,22079,0.32166311880067033,0.3858100626213558,-6.015432415564195,-0.000976139660521516,6769.120045693944,17545.213828021217,-0.9999999995985301,2.007349104863717e-07,-499.9999997992651,-0.9999999995980924,15.256533357489017,-0.4857126872638027,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533159429531,False
BTCUSD,1m,bb_rsi_reversion,Aggressive,22822,0.24568398913329242,0.4036937855095619,-5.766873821075683,-0.0009387691762272495,7252.124568197766,17964.41963812691,-0.9999999995449368,2.2753161488090696e-07,-499.9999997724684,-0.9999999995449235,15.369599509245464,-0.4716489075453667,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533158893598,False
BTCUSD,1m,bb_rsi_reversion,Intraday_Trailing,24822,0.10518894529046813,0.11018421005392987,-13.848180926029693,-0.0010983524127236926,1687.981716730076,15319.633511043825,-0.9999999999986048,6.976062608094591e-10,-499.9999999993024,-0.9999999999986049,4.540407702844251,-1.118073934968046,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163430278,False
BTCUSD,1m,bb_rsi_reversion,Scale_Out_2R,22983,0.2581038158638994,0.2678387324453178,-7.568609983817626,-0.0009924381733712442,4172.024141473367,15576.62741076902,-0.9999999998831728,5.8413631507764304e-08,-499.9999999415864,-0.999999999883166,13.062089370404212,-0.6032756270961622,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533162275959,False
BTCUSD,1m,vwap_cross,Scalping,42139,0.19252948574954318,0.14728413099756646,-12.972302193312583,-0.0009744720822129836,3546.298124579491,24077.93766076595,-1.0,6.977489564926327e-16,-500.0,-1.0,5.066280642635089,-0.9993730148665456,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163444229,False
BTCUSD,1m,vwap_cross,Intraday,28560,0.31046918767507004,0.3430192112974098,-7.012443324089259,-0.000988195463965957,7367.783187062441,21479.21441249631,-0.999999999999492,2.539968174646295e-10,-499.999999999746,-0.9999999999994912,15.248739495798318,-0.5556330698079842,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163439148,False
BTCUSD,1m,vwap_cross,Aggressive,31130,0.24102152264696433,0.3575174103681406,-6.880628306265873,-0.0009601957224684458,8316.579137210561,23262.02555743192,-0.9999999999999046,4.7660187877103836e-11,-499.99999999995237,-0.9999999999999046,14.909669129457116,-0.5557609008154851,1.0,0.0,0.0,False,0.0,0.720553316344423,-0.5240842512628966,-1.7205533163443276,False
