symbol,tf,strategy,profile,has_short,bf_trades,bf_pf,bf_sharpe,bf_net,bf_dd,bf_usd,af_trades,af_pf,af_sharpe,af_net,af_dd,af_usd
BTCUSD,5m,ma_crossover,Scalping,True,25722,0.23309131300262745,-71.49281882784192,-1.0,-1.0,0.0,27482,0.2327863521339092,-74.08997202944585,-1.0,-1.0,0.0
BTCUSD,5m,ma_crossover,Intraday,True,8184,0.49201229386432055,-18.140481723262592,-0.9999995850562229,-0.9999995857693735,0.00020747188855807508,8641,0.49013762846593295,-18.731995648517948,-0.9999998321754885,-0.9999998322750047,8.391225575499206e-05
BTCUSD,5m,ma_crossover,Aggressive,True,9274,0.43865273141173,-21.426277616052715,-0.9999999617503783,-0.9999999616081332,1.9124810846093965e-05,9934,0.44024673458812774,-22.11101168170288,-0.9999999879643252,-0.9999999879494375,6.017837395067005e-06
BTCUSD,5m,ma_crossover,Intraday_Trailing,True,20035,0.22642611275716046,-56.24242086064955,-1.0,-1.0,0.0,21401,0.224039449577209,-58.67641266625557,-1.0,-1.0,0.0
BTCUSD,5m,mean_reversion,Scalping,False,6629,0.2865317768219253,-29.4923940077675,-0.9999959408367052,-0.9999959391762867,0.002029581647411405,6629,0.28657596868634583,-29.48103155475337,-0.9999959470482377,-0.9999959499655487,0.00202647588115612
BTCUSD,5m,mean_reversion,Intraday,False,4796,0.5257261608721525,-12.196271738815495,-0.9997948818713226,-0.9997958230727702,0.1025590643387031,4796,0.5241112148010102,-12.274753540658466,-0.9997967251165943,-0.9997984983217092,0.10163744170282873
BTCUSD,5m,mean_reversion,Aggressive,False,5119,0.47922822833326933,-13.936525301050839,-0.9999189900852407,-0.9999195647648003,0.0405049573796723,5119,0.4782235607249795,-13.980528872643623,-0.9999198924865808,-0.9999207624268999,0.040053756709623745
BTCUSD,5m,mean_reversion,Intraday_Trailing,False,6267,0.2455501918635178,-27.93541821434457,-0.9999931605948605,-0.9999931557698429,0.0034197025697291217,6267,0.24549861992618266,-27.93123239987412,-0.99999318517802,-0.9999931860778775,0.0034074109899751015
BTCUSD,5m,bb_rsi_reversion,Scalping,False,5238,0.30455290035092014,-25.460624747252403,-0.9999222672010449,-0.9999222061142491,0.0388663994775329,5238,0.3046083434828273,-25.4489160187108,-0.9999224083340363,-0.9999224552922085,0.038795832981830536
BTCUSD,5m,bb_rsi_reversion,Intraday,False,4285,0.5183547703542974,-11.920470434544553,-0.9995215658804655,-0.9995249243848329,0.2392170597672605,4285,0.5173215531286236,-11.957952744945775,-0.9995278503041478,-0.9995322428850115,0.23607484792609323
