symbol,tf,strategy,profile,fut_fee,opt_dte,opt_spread,opt_alloc,fut_trades,fut_win_rate,fut_pf,fut_expectancy,fut_avg_win,fut_avg_loss,fut_net_return,fut_end_capital,fut_pnl_usd,fut_max_dd,opt_trades,opt_win_rate,opt_pf,opt_expectancy,opt_avg_win,opt_avg_loss,opt_net_return,opt_end_capital,opt_pnl_usd,opt_max_dd,opt_enh_trades,opt_enh_win_rate,opt_enh_pf,opt_enh_expectancy,opt_enh_avg_win,opt_enh_avg_loss,opt_enh_net_return,opt_enh_end_capital,opt_enh_pnl_usd,opt_enh_max_dd
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.01,0.05,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.34297175330101953,1.0865770098988383,0.014790224321818729,0.5412206227563364,0.2600088541792319,17.08406986685189,9042.034933425946,8542.034933425946,-0.9093674119723323,2901,0.35125818683212684,1.3839486676129675,0.07771844303225448,0.7975252712325217,0.3120175601218753,19769.505453714275,9885252.726857137,9884752.726857137,-0.4743941875590956
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.01,0.1,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.34297175330101953,1.0865770098988383,0.014790224321818729,0.5412206227563364,0.2600088541792319,16.82214774240441,8911.073871202205,8411.073871202205,-0.9953402427898911,2901,0.35125818683212684,1.3839486676129675,0.07771844303225448,0.7975252712325217,0.3120175601218753,29978656.22264149,14989328611.320745,14989328111.320745,-0.7565100351016625
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.01,0.2,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.34297175330101953,1.0865770098988383,0.014790224321818729,0.5412206227563364,0.2600088541792319,-0.9945647738434303,2.7176130782848236,-497.28238692171516,-0.9999988928677132,2901,0.35125818683212684,1.3839486676129675,0.07771844303225448,0.7975252712325217,0.3120175601218753,72130345565.52473,36065172783262.37,36065172782762.37,-0.96450303276479
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.03,0.05,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.3426374728397125,0.9717961436043928,-0.005188325691985934,0.5217459048947262,0.279842577586916,-0.9541691664567333,22.915416771633357,-477.0845832283666,-0.992344135009866,2901,0.35125818683212684,1.263293921399491,0.05670201258323915,0.7745252712325217,0.3319599962178336,949.0750156634576,475037.50783172884,474537.50783172884,-0.6666878763212886
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.03,0.1,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.3426374728397125,0.9717961436043928,-0.005188325691985934,0.5217459048947262,0.279842577586916,-0.9998870903670425,0.05645481647878244,-499.9435451835212,-0.9999894049462649,2901,0.35125818683212684,1.263293921399491,0.05670201258323915,0.7745252712325217,0.3319599962178336,70294.07944123053,35147539.72061526,35147039.72061526,-0.902745315302289
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.03,0.2,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.3426374728397125,0.9717961436043928,-0.005188325691985934,0.5217459048947262,0.279842577586916,-0.9999999999998057,9.716262332517875e-11,-499.99999999990285,-0.9999999999999841,2901,0.35125818683212684,1.263293921399491,0.05670201258323915,0.7745252712325217,0.3319599962178336,398979.0674491601,199490033.72458005,199489533.72458005,-0.9943957505844249
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.05,0.05,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.34180177168644493,0.8723190057441479,-0.025164882891339918,0.50300196669349,0.2994414718707653,-0.9998844708636218,0.05776456818914604,-499.94223543181084,-0.9999370620157484,2901,0.3498793519476043,1.156334633779587,0.035692144643883233,0.7545406881070904,0.3511749134765596,44.555337659716564,22777.66882985828,22277.66882985828,-0.796087834497419
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.05,0.1,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.34180177168644493,0.8723190057441479,-0.025164882891339918,0.50300196669349,0.2994414718707653,-0.9999999993007577,3.4962118234216095e-07,-499.9999996503788,-0.9999999997189162,2901,0.3498793519476043,1.156334633779587,0.035692144643883233,0.7545406881070904,0.3511749134765596,162.08194993132076,81540.97496566038,81040.97496566038,-0.9722642405493513
BTCUSD,15m,ma_crossover,Scalping,0.0005,1,0.05,0.2,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.34180177168644493,0.8723190057441479,-0.025164882891339918,0.50300196669349,0.2994414718707653,-1.0,3.1594723133443293e-21,-500.0,-1.0,2901,0.3498793519476043,1.156334633779587,0.035692144643883233,0.7545406881070904,0.3511749134765596,1.1064702781643136,1053.2351390821568,553.2351390821568,-0.9999779732767093
BTCUSD,15m,ma_crossover,Scalping,0.0005,3,0.01,0.05,5983,0.3439745946849407,0.8678744130903479,-0.0003255659702296127,0.006217024680977331,0.003756050444161813,-0.8695176836335677,65.24115818321613,-434.75884181678384,-0.8820781227567196,5983,0.3438074544542871,1.0270350836467161,0.002775223914562114,0.3066481169700893,0.15643683441840256,0.3951677745553652,697.5838872776826,197.5838872776826,-0.7894544249089965,2901,0.3522923129955188,1.2906463660250826,0.03548461488068795,0.44727980999419287,0.1884933997047309,109.48609185204333,55243.04592602167,54743.04592602167,-0.31733270089333754
